movie_title,movie_imdb_link,title_year,color,genres,plot_keywords,duration,language,country,content_rating,num_critic_for_reviews,num_user_for_reviews,director_name,imdb_score,budget,gross,movie_facebook_likes,director_facebook_likes,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,facenumber_in_poster,aspect_ratio
3,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,2010,Color,Comedy|Drama|Romance,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,119,German,Germany,Unrated,76,18,Tom Tykwer,6.8,,59774,2000,670,Devid Striesow,Sebastian Schipper,Sophie Rois,24,20,9,69,4212,0,2.35
42,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,2013,Color,Biography|Drama|Sport,baseball|baseball player|brooklyn dodgers|major league baseball|racism,128,English,USA,PG-13,216,200,Brian Helgeland,7.5,40000000,95001343,28000,241,Harrison Ford,Christopher Meloni,Nicole Beharie,11000,3000,898,16911,66511,0,2.35
1911,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,2011,Color,Action|Adventure|Drama|History|War,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,121,Mandarin,China,R,63,27,Li Zhang,6,18000000,127437,0,0,Bingbing Li,Joan Chen,Jaycee Chan,974,643,187,1887,4670,0,2.35
1982,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,2013,Color,Drama,number in title|semi autobiographical,90,English,USA,R,6,3,Tommy Oliver,7.1,1000000,,181,66,Bokeem Woodbine,Ruby Dee,Quinton Aaron,904,782,734,5435,122,4,
#HorrorÂ ,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,2015,Color,Drama|Horror|Mystery|Thriller,bullying|cyberbullying|girl|internet|throat slitting,101,English,USA,Not Rated,35,42,Tara Subkoff,3.3,1500000,,750,37,Timothy Hutton,Balthazar Getty,Lydia Hearst,501,418,56,1044,1547,1,
10 Cloverfield LaneÂ ,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,2016,Color,Drama|Horror|Mystery|Sci-Fi|Thriller,alien|bunker|car crash|kidnapping|minimal cast,104,English,USA,PG-13,411,440,Dan Trachtenberg,7.3,15000000,71897215,33000,16,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,14000,338,82,14504,126893,0,2.35
10 Days in a MadhouseÂ ,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,2015,Color,Drama,,111,English,USA,R,1,10,Timothy Hines,7.5,12000000,14616,26000,0,Christopher Lambert,Kelly LeBrock,Alexandra Callas,1000,445,247,2059,314,1,1.85
